PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI
0.35795,0.71345246,0.112812094,-0.08475302,-0.06440337,0.27232575,0.09258621,0.9109758,-0.053602446,0.3866271,0.09411192,0.25890785,-0.011495138,0.06171338,-0.087998785,0.13927726
-0.29026836,-0.4917057,-0.09500267,0.049369007,0.070265286,-0.11139455,-0.14071493,-1.2145436,-0.13793813,0.28870538,-0.05752611,0.30347824,0.2983925,0.26806825,-0.031797994,0.088985614
0.40584722,0.3959759,0.13774545,-0.08662518,-0.037614446,0.11466137,0.0986549,0.81896216,-0.047057055,0.42806995,0.36783203,0.44490087,-0.035553623,0.19549963,-0.10995549,0.08281272
0.35709533,0.25420538,0.1044496,-0.02712719,0.04447955,0.091086045,0.045290064,0.8705478,-0.050591744,0.266228,0.21755977,-0.3613748,-0.12030225,0.26592746,-0.1726712,0.058528863
-0.19984694,-0.350758,-0.044545054,0.03328045,0.12273636,-0.119770594,-0.15011933,-1.4462534,-0.08027496,0.29530814,0.21951269,-0.22519237,-0.03466215,-0.42138183,0.14643174,-0.038511317
-0.22156328,-0.28005862,-0.07076445,0.025807822,0.09082289,0.0032062682,-0.07608,-0.45515764,0.0494729,0.31938943,0.27435547,0.029993799,-0.02404581,0.30982757,0.14980581,0.033247083
0.35240743,0.6418062,0.12802072,-0.085257135,-0.041785017,0.2325838,0.08873606,0.88755566,-0.050278608,0.43454662,0.45647505,-0.30796364,0.43329233,0.26220712,-0.14271958,0.07199423
-0.031053845,-0.04161283,0.057346165,-0.0047086338,0.06725707,0.073147945,-0.007209342,0.18721576,-0.03187945,0.33171073,-0.2655984,-0.5166842,-0.4779127,0.18620448,-0.1761489,-0.08504726
-0.19711976,-0.048971172,-0.07153059,-0.0020406493,-0.015168681,0.0731661,0.043470163,0.60384226,0.14072143,0.510788,0.30927724,-0.15602744,0.28579766,0.20666988,0.18329892,0.11596247
-0.014707378,0.24578227,0.10547472,-0.014879876,-0.037483294,0.085102394,0.07909058,0.6672056,-0.053062394,0.40991095,0.15957032,-0.11862097,0.5850671,0.26937708,-0.15501973,0.024385734
-0.30960485,-0.34767455,-0.08762167,0.034730833,0.13659121,-0.09041787,-0.12844469,-1.0931541,-0.0032602686,0.26349938,-0.01496181,-0.16169612,-0.32104588,-0.38884783,0.16872261,0.10718604
-0.16608296,-0.31998605,-0.02486156,0.029461714,-0.010048668,-0.111319475,-0.1419266,-2.103841,0.2647138,0.25805238,-0.45946556,-0.12125838,-0.33304718,-0.53875524,0.15464725,-0.035967417
-0.005498542,0.009842399,-0.062146027,0.00812551,0.28186512,0.08747612,0.08069868,1.0404497,-0.022379909,0.63302815,1.5128268,0.4717679,0.29957256,0.26471817,0.16761963,0.056555822
-0.14095291,-0.43241075,-0.047251765,0.06983157,0.0769829,-0.1545244,-0.16215734,-2.0598009,-0.1025501,0.25187263,-0.43856978,0.12979884,-0.4773069,0.0992731,0.15951282,-0.0573476
-0.18328065,-0.07071632,-0.09967888,0.004250111,0.07274965,0.057075206,-0.010914135,-0.1372203,-0.100081876,0.3452315,0.1833032,0.13082393,-0.012544539,0.2013538,-0.19157287,-0.07325847
-0.3415891,-0.43149644,-0.10582484,0.036682338,0.10445362,-0.13629249,-0.16546887,-0.5895733,0.42662272,0.28794178,0.25813022,-0.12670852,-0.24895409,0.07688013,0.15394925,0.09374534
0.15925312,-0.14860438,0.009328263,0.0819221,0.08217334,-0.11130737,-0.10795069,-2.6469443,0.12548338,0.21020113,-0.7445444,-0.33779368,-0.8223537,-0.76942444,-0.15078159,-0.10608249
-0.20051587,-0.24303801,-0.025140565,-0.11898267,0.11743482,0.01642812,0.09938032,0.41808096,-0.11921293,-2.4976678,0.15687321,-0.14961626,-0.06361081,0.27473456,-0.11968187,0.2328205
-0.29961038,-0.36404368,-0.08394208,0.05408191,0.15071122,-0.12007771,-0.15244025,-1.6780397,-0.03467494,0.25680378,0.24795607,-0.15408285,-0.5269146,-0.6205923,0.042005748,-0.05818156
-0.111297995,0.23275287,0.094101846,-0.08209159,-0.0443682,0.08692204,0.06856461,0.82288295,-0.0241501,0.49683133,0.12915607,0.032373298,-0.0358067,0.15141071,0.15762389,-0.076190576
-0.2590105,-0.30542734,-0.08747562,-0.010330712,0.07466008,0.069328465,-0.023463849,-0.20502551,-0.09794181,0.3150697,0.04508486,-0.1841028,-0.04171646,0.1547777,0.22325872,0.09214808
0.22194083,0.043738004,0.065422736,0.022079227,-0.31425384,0.067308135,-0.010252268,0.8181013,-0.039532162,-0.5486619,0.31401452,-0.1902497,0.37048733,-0.35638294,0.08531903,-0.19297707
0.3280179,0.63707644,0.112761624,-0.078284904,-0.036822382,0.20081168,0.09415207,0.7776825,-0.05386596,0.43952557,0.09526297,0.011805726,0.32693917,0.47810102,-0.11455152,-0.07534663
0.36491483,0.07050563,0.13344887,0.093113594,0.094815895,0.05574444,0.054018237,0.9187103,-0.051119737,0.2961572,0.2569643,0.012295529,0.23295105,0.15846272,-0.14929964,-0.11565308
-0.10450698,0.25194755,0.11044918,-0.10034938,-0.043568093,0.08123978,0.07635525,0.8338741,-0.07152683,0.2525168,0.042244673,0.0841724,0.4813733,0.21309021,-0.16243185,0.053711925
0.021864338,-0.38445586,0.045175847,0.045483828,-0.15208818,-0.1232141,-0.20679973,-1.5152951,0.030319385,0.28939757,0.20818006,0.13125905,0.21837287,0.25298998,0.09425961,-0.08867209
-0.27039805,-0.36358008,-0.050242778,0.031201117,0.07735826,0.004239823,-0.045253184,-0.52225435,-0.09541866,0.26853472,0.3231317,-0.312878,-0.040873293,-0.01225132,0.18353736,0.08062046
-0.012376746,0.23053375,0.08460015,-0.03420595,0.031840816,0.1409083,0.08695989,0.6181717,-0.03611643,0.40308347,0.31428686,-0.4074168,-0.04558086,-0.45153052,-0.1525596,-0.06835442
0.29136795,0.295137,0.09552095,-0.0987774,-0.04741175,0.09778925,0.08331918,0.8644952,-0.051325202,0.41178927,0.25917757,-0.35176548,-0.37280405,0.20153303,-0.03862347,-0.10952893
-0.28566715,-0.08564195,-0.09938609,-0.015651613,-0.07904136,0.05295894,0.07503821,0.8504683,-0.10575697,0.092690684,0.19468358,-0.016916364,0.49909604,0.19344972,-0.18561599,0.040002838
-0.30994257,-0.30362618,-0.06450031,0.014511503,0.08334741,0.02281755,-0.06547537,-0.26720712,0.22276446,0.3141283,0.24354585,-0.16336653,-0.5007619,0.049963355,-0.17313546,-0.06770842
0.03481356,-0.3699502,-0.059180785,0.08052974,0.07624573,-0.14107943,-0.13315174,-2.1940098,0.13428819,0.23216687,0.27943978,-0.16742073,-0.45772457,0.09488864,-0.13629767,0.1383841
-0.18133903,-0.28204837,-0.035022464,0.050169837,0.14636035,-0.010027386,-0.050849605,-0.5397771,0.011073766,0.30017707,0.2519885,-0.2774474,-0.054734267,-0.49812043,-0.18195803,-0.037333198
0.30748275,-0.024398224,0.049346514,0.059328318,-0.11213829,-0.078678496,-0.021603733,0.46836832,-0.05675544,-1.5907286,0.40056658,-0.18923436,-0.062078524,0.00034621384,0.1329753,0.24551988
0.017563803,0.06458396,0.08784003,0.056346435,0.069419056,0.06625479,0.030892804,0.2034594,-0.048577257,0.3587475,0.21604086,-0.43957174,-0.059777413,0.14983355,-0.1752806,0.050240412
0.1690048,-0.13238358,-0.087613896,-0.044730797,-0.50146025,0.35532108,-0.13023373,-3.8610103,-0.039180815,0.22795849,-1.4163055,-0.3123477,-1.0543767,-1.1250298,0.041867975,-0.097577475
-0.016073203,0.23564546,0.09134769,-0.108627595,-0.0024196731,0.0895916,0.06879099,0.4987432,-0.05040828,0.3856389,0.22929041,-0.28196627,-0.081821986,0.15797998,0.18470916,-0.10313257
-0.2141807,0.04229138,-0.07406558,-0.013805882,-0.047126155,0.07487934,0.039611496,0.8912982,-0.012582339,0.5522972,0.36242935,0.5436762,0.00437333,0.17654623,0.16301511,0.09415831
-0.13916948,-0.23702317,-0.056414157,0.07506274,0.1361581,-0.12258933,-0.14346462,-1.6978278,0.31520057,0.24169141,-0.0076159076,-0.18376376,-0.7463621,-0.7196985,0.082344376,-0.066989414
-0.09350971,-0.11823669,0.03293789,0.07564037,-0.16525775,-0.09561335,-0.019656388,-2.859669,0.13756776,0.20523885,-1.041862,-0.14001419,-0.77831376,-0.835058,0.02776872,-0.070903294
-0.30913785,-0.36741993,-0.075948685,0.04494192,0.1510866,-0.11217244,-0.14490491,-0.8242548,0.39795065,0.29974806,0.19649786,-0.14868578,-0.030164782,-0.4543314,0.2032809,-0.02307199
0.02502684,-0.24728839,-0.025336009,0.09757489,-0.054100305,-0.11154479,-0.10431771,-2.0139143,-0.06351189,0.24081361,-0.6266858,-0.34334955,0.06301029,-0.5395606,0.018908324,-0.05930721
0.051853597,0.27372894,0.10386455,-0.085549936,-0.04996671,0.110579774,0.08004463,0.78495216,-0.043779317,0.39591652,0.2588019,-0.3969201,-0.049036384,0.18835904,0.18326335,0.77753854
-0.38998654,-0.3754632,-0.070474416,0.013205085,0.06717453,-0.015938548,-0.08280282,-0.18510467,0.10447086,0.33086622,0.20640959,-0.14280817,0.15747912,0.06000885,-0.1899059,-0.053035345
-0.0048302766,0.24021357,0.0822197,-0.09856435,-0.011070642,0.07980546,0.06904307,0.6708686,-0.05261476,0.38487992,0.2286145,-0.34713325,-0.09110509,0.15377244,-0.17913608,0.08579297
-0.015100905,0.24484485,0.10391789,-0.10085589,-0.028455462,0.10998564,0.09441857,0.8392858,-0.050863408,0.34889284,0.1832105,0.19237214,-0.02068321,-0.18650857,0.08226238,-0.09319613
