Feature,Mean_abs_SHAP,Percentage
WP,0.87698567,21.053852
FP,0.87142587,20.920376
FVC,0.31116152,7.470074
POP,0.30302534,7.2747483
ECV,0.2716336,6.5211253
ED,0.26018238,6.246215
BP,0.23333076,5.6015863
PD,0.21716613,5.213521
GDP,0.15522282,3.726444
UEI,0.13936454,3.3457334
AI,0.108946815,2.615493
CONTAG,0.09430638,2.2640193
GP,0.09068147,2.176996
SHDI,0.08095524,1.9434975
LSI,0.07947351,1.9079257
AWMSI,0.071578756,1.7183957
