Year,CCD_Group,Analysis,Model,Train_R2,CV_Mean_R2,CV_Std_R2,Test_R2,RMSE,MAE
2023,Levels 1-2,2023_Level_1_2_Combined,Linear Regression,0.8331058406932852,0.6103903700515037,0.4038073839343258,0.7975994224935312,1.4973628551986908,1.1729569944209572
2023,Levels 1-2,2023_Level_1_2_Combined,Random Forest,0.9504204069098565,0.8175229076432299,0.04158718641710507,0.8198664137086707,1.412597813034482,1.06710148993364
2023,Levels 1-2,2023_Level_1_2_Combined,XGBoost,0.9756694310758217,0.8075549008365656,0.04649030650531067,0.8325237449130262,1.3620649028904404,1.0235362192197102
2023,Levels 3-4,2023_Level_3_4_Combined,Linear Regression,0.7074467130511274,0.6662742164895471,0.046793037352854006,0.7357130656538521,2.229869426250358,1.5858568094023175
2023,Levels 3-4,2023_Level_3_4_Combined,Random Forest,0.9046309137455885,0.7188344463752225,0.03014169918278119,0.7788550094681547,2.039765017780278,1.5009817074680931
2023,Levels 3-4,2023_Level_3_4_Combined,XGBoost,0.8694715680646049,0.7229830983437612,0.02970949803695464,0.7732762325040482,2.0653331278215274,1.5157958126609632
2023,Levels 5-6,2023_Level_5_6_Combined,Linear Regression,0.7906334198090382,0.7309867278451211,0.04794386096521242,0.6126025876658934,2.6956056605540195,1.7207246079936585
2023,Levels 5-6,2023_Level_5_6_Combined,Random Forest,0.9347825019734887,0.7457685904740788,0.028542426180937025,0.7052016476728372,2.3514758772797912,1.6186019759357764
2023,Levels 5-6,2023_Level_5_6_Combined,XGBoost,0.9313787561023209,0.7688639023967848,0.03494446179357961,0.7288632903372312,2.2551330129723204,1.5550310737952335
