Analysis,Feature,N_used,Estimated_breakpoint,Bootstrap_CI_2.5%,Bootstrap_CI_97.5%,Bootstrap_success_n,F_value,P_value,R2_linear,R2_piecewise,Delta_R2,Slope_left,Slope_right,Slope_change,Status,Threshold_support
2023_Level_1_2_Combined,BP,117,0.001371382,0.000996046,0.00308886,200,75.99098506695042,2.6416047358801958e-14,0.7652125749954697,0.8591208607024984,0.0939082857070287,81.2643845107276,9.944830768010533,-71.31955374271706,Statistically supported,Supported by segmented regression and bootstrap CI
2023_Level_1_2_Combined,FVC,117,0.802195132,0.7322814476249999,0.812965322725,200,10.898582317454384,0.0012853766094164053,0.7673827600250589,0.7876808137842459,0.02029805375918703,-2.198453780569199,-4.057155821940214,-1.8587020413710154,Statistically supported,Supported by segmented regression and bootstrap CI
2023_Level_1_2_Combined,FP,117,0.033090245,0.013232514,0.178976078,200,149.77372452543403,1.6827018417898266e-22,0.953052802151804,0.9797099557041805,0.026657153552376522,-39.73228171940264,-4.556054047645709,35.17622767175693,Statistically supported,Supported by segmented regression and bootstrap CI
2023_Level_1_2_Combined,GDP,117,1.270605922,1.045054817025,1.466329813,200,267.84260590177354,1.0571211350851949e-31,0.21310534550995164,0.7650707667888119,0.5519654212788603,0.7140981427351932,-0.05381874681263599,-0.7679168895478292,Statistically supported,Supported by segmented regression and bootstrap CI
2023_Level_1_2_Combined,POP,117,83.0,79.0,92.0,200,374.5586908423,8.024603491850943e-38,0.5503182942936085,0.8950715330390554,0.34475323874544694,0.01050538359941939,0.0009439424573282496,-0.00956144114209114,Statistically supported,Supported by segmented regression and bootstrap CI
