Feature,Mean_abs_SHAP,Percentage
FP,1.7607243,49.790863
AI,0.3017611,8.533388
POP,0.270315,7.6441364
FVC,0.21944048,6.205475
GDP,0.17825134,5.040703
ECV,0.17247759,4.877429
ED,0.14154935,4.002821
GP,0.10579468,2.991728
BP,0.09175066,2.5945823
SHDI,0.07069989,1.9992957
CONTAG,0.06443642,1.8221734
PD,0.053971075,1.5262278
WP,0.040259756,1.1384906
LSI,0.038895674,1.0999162
AWMSI,0.020080656,0.56785333
UEI,0.005831788,0.16491494
