PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI
-0.0040189046,-0.08374569,-0.017769603,-0.014558857,-0.15199548,-0.040135507,-0.0412964,-1.3094038,-0.05566632,-0.013275657,-0.22471157,-1.1303147,-0.042617053,0.0004970925,-0.22671947,0.00094226544
-0.33427817,0.10236753,-0.069891654,-0.029709375,0.4187849,0.10846492,-0.016257765,1.6110106,0.114130005,-0.012848472,-0.061188146,-0.01250792,0.06738374,-0.011694763,0.17387246,0.0036046915
0.022255912,-0.016736798,0.0033113454,0.008199906,-0.19979969,-0.049152736,-0.082684174,-1.157943,0.022110345,-0.013782812,-0.24697766,0.25112063,-0.04560526,-0.3230517,-0.11468208,0.0013300483
-0.06597622,-0.20611782,-0.026397135,-0.002411753,0.47146675,-0.08099527,-0.08141148,1.6222224,-0.046377815,-0.012880789,0.2518894,-0.036691085,-0.055952594,-0.045647442,0.12185543,0.0068971
-0.075561985,0.08646832,0.00085858826,-0.07064801,0.28594902,0.08196849,0.035228536,3.7036693,0.14246829,1.0626546,0.6710258,-0.039773583,0.17814614,0.18467335,0.067208104,-0.10848481
0.007332391,0.13444161,0.0254295,0.013613172,-0.18177684,-0.040848453,-0.07822701,-1.1883538,-0.074767396,-0.010070972,-0.31419584,0.010450489,-0.045456618,0.31783095,-0.10681923,0.0023138814
-0.006784878,0.11858011,-0.004646362,-0.0037860172,0.38421246,0.052190155,0.014718435,2.098244,0.119856454,-0.014695417,0.14573725,-0.08950952,0.120219216,0.28615102,0.23406492,0.0029213065
0.005510121,0.08579739,-0.060831748,0.022649448,-0.5339342,0.011336864,-0.05168814,-2.4363477,0.038293276,-0.015948873,-0.3969604,0.028104842,-0.061263822,-0.65534854,-0.05342143,0.00059736584
-0.0810215,-0.16655824,-0.04482949,0.003858039,0.3916764,-0.023956409,-0.060511768,1.1364466,-0.11976152,-0.009126541,0.1507763,-0.06382637,0.14098838,0.19700508,-0.07277117,0.009341656
0.021060666,-0.04142415,0.015229855,0.0036272018,-0.18948828,-0.047628276,-0.078720674,-1.7993578,0.021843811,-0.0144492565,-0.28422713,0.26364714,-0.0470288,-0.3007857,0.19675432,0.00029146677
0.019560404,-0.043109737,0.01796757,0.006800241,-0.035288543,-0.023977146,0.040195614,-0.8391301,0.059863634,-0.013467378,-0.19007333,-0.013086402,-0.035128776,-0.25253657,-0.1308906,0.00050308404
-0.06961451,-0.19249368,-0.07756579,0.032328326,0.3574446,-0.039344385,-0.12911221,0.78545463,0.10832528,-0.009159445,0.2171455,0.07029239,-0.052651953,0.24431306,-0.05011733,0.0044109747
-0.1917659,-0.2847624,-0.042479165,-0.0024794617,0.35805187,-0.032296456,-0.100461505,1.8029989,-0.08405462,-0.012419426,0.03981901,0.06794337,0.12662183,0.13961987,0.110422775,0.008576205
0.0019812114,0.1644543,0.02643685,-0.03163403,0.37238044,0.088662446,0.010320001,2.252075,-0.22156729,-0.013150561,0.07350943,0.027742323,0.03744593,0.5733027,0.24983554,0.005143214
0.00034815198,-0.03978626,0.023160635,0.012810677,-0.1134559,-0.050736774,-0.087638184,-1.3612888,-0.08933047,-0.012900317,-0.2511902,-0.04784878,-0.037919324,0.030411558,-0.15500426,0.00074726564
-0.037984982,0.14660864,-0.03821611,-0.03887186,0.3789498,0.11054245,-0.0055837613,1.9712771,-0.1959493,-0.01496277,0.23146091,-0.0026733326,0.026382336,0.015096367,0.24885827,0.0057153758
0.07368065,0.22837506,0.10603618,0.012193994,-0.024236161,0.030265778,-0.06453207,1.4325356,-0.046531763,-0.017019263,0.18020254,-0.003076811,-0.05970273,0.169609,0.415426,0.007193293
-0.019899279,-0.10165105,-0.016326811,-0.008442845,0.127509,-0.051644377,0.17960483,-0.54084086,-0.06622864,-0.011477551,-0.10538552,-0.005074661,0.12220007,0.048356056,-0.08466742,0.0028918139
-0.026545,-0.15779342,-0.014687728,-0.004021119,-0.077720664,-0.011930691,-0.0009783651,-0.26273486,-0.043774668,-0.015212292,0.17431454,-0.55329955,-0.06069874,-0.1507618,0.07191534,0.0012278645
0.28857186,0.4071025,0.15549135,0.030471768,0.41943514,-0.048309658,0.0998566,4.1054006,0.24032798,0.4783537,0.9238973,-0.039773013,0.43607998,0.21343613,0.61218655,0.009699295
0.058844734,0.20324786,0.016572086,-0.0026376087,0.35276926,0.0036066724,-0.083745256,2.0502253,-0.18140385,-0.011920817,0.14383356,-0.010455301,0.096265495,0.25589177,0.11150809,0.010501321
0.016104192,0.104476176,0.049772143,0.028975427,-0.30362412,0.0091719115,-0.06808797,-2.066544,0.18787597,-0.014838013,-0.2802414,-0.11102802,-0.052286793,-0.23999065,-0.074416615,0.0008249801
0.015531293,0.03175141,-0.009347617,-0.0027943423,-0.47560886,0.010328498,-0.068410605,-2.3732386,0.032102942,-0.01570522,-0.5312841,0.27568814,-0.057430394,-0.41971228,-0.1596153,0.0010480074
0.000915478,-0.13960719,-0.055359904,0.0085157715,-0.09707644,-0.014321177,0.02951644,-0.6137207,-0.032954354,-0.014577829,0.14488,0.08641386,0.048901167,-0.31759003,0.24366643,0.00021757261
0.025948068,-0.0134203425,0.04656204,0.0057924436,-0.05382779,0.0030919001,-0.03660384,-1.1289774,0.054430317,-0.013776677,-0.25220135,0.03269917,-0.034895107,-0.21886963,-0.17696142,0.00051614654
0.025196709,0.06952291,0.040997233,0.010856829,-0.39174023,0.08744434,-0.062260255,-2.1441126,0.045610487,-0.01540834,-0.09240023,0.51751435,0.2976555,-0.41819686,-0.04550894,0.00087843667
0.017980129,-0.11786405,0.0030215145,-0.004215479,-0.13487859,-0.0017996337,-0.0083014425,-0.9363583,0.07081034,-0.009974779,-0.14466906,-0.38772514,0.05351912,0.22858106,-0.1880242,0.0009204133
-0.030827932,0.18471073,0.045972124,-0.028717728,0.32350206,0.051866766,-0.0008578179,2.1380384,0.120916255,-0.0148169,0.13084817,-0.110938296,0.09803544,0.16991553,0.23092401,0.0011037226
0.016842142,-0.04025554,0.0099803265,0.009335988,-0.105079524,-0.013947479,-0.07014745,-1.1493716,0.022435922,-0.0139502715,-0.12235284,-0.014339278,-0.04101938,-0.13775018,-0.09043338,0.0006051303
-0.0025700743,-0.196523,-0.07373688,-0.018950265,0.26471978,-0.101358876,-0.024046974,-0.21516484,-0.051855944,-0.011491152,0.18273675,0.15514414,-0.05566137,0.07837705,0.12132837,0.00217561
