Feature,Mean_abs_SHAP,Percentage
CONTAG,0.94990724,23.541746
POP,0.8807594,21.828041
WP,0.4908712,12.16536
BP,0.41314143,10.238969
SHDI,0.2771315,6.8682065
FVC,0.23214933,5.753404
ED,0.19459242,4.8226237
UEI,0.1250015,3.0979378
AWMSI,0.115017995,2.8505144
AI,0.09971113,2.4711614
GDP,0.06767583,1.6772238
ECV,0.06258155,1.5509713
GP,0.05648233,1.3998132
PD,0.027831953,0.689765
LSI,0.022928394,0.5682391
FP,0.019207433,0.47602174
