PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI
0.015345202,0.2597331,0.024542069,-0.12414281,0.18547058,1.11818,0.3260548,0.008637072,-0.039219756,0.44868276,0.042757448,-0.12315677,0.6965929,0.58071715,-0.020897731,0.057826243
0.023091793,0.21647719,0.034803092,-0.14555266,-0.1700083,1.1496844,0.36175597,0.008738432,-0.03636057,0.4005131,0.14069183,0.0108889025,-0.054477002,0.28048673,0.16515818,0.013442001
0.025244894,0.22871542,0.031232905,-0.14497922,-0.15416546,1.1009184,0.3584656,0.0077892407,0.15914622,0.35090813,0.14077611,-0.010338059,0.27307838,0.16754246,0.17068022,0.094891384
-0.03988266,0.009414401,-0.036187764,0.10344313,-0.0050898395,0.4204286,0.009741927,0.043579087,-0.034446456,0.40862453,0.10138982,-0.011493606,0.0786327,0.54291755,0.20887081,0.023302777
0.016356707,0.016731976,0.021515327,0.08715178,-0.22181414,-1.111037,-0.29057685,0.012773341,-0.026935646,-0.5483999,0.1554534,-0.09967361,-0.5353971,0.6287159,-0.091486394,-0.22739075
0.025921278,0.13821961,0.03846083,0.062232103,-0.014092938,0.514858,0.015439531,0.0062586465,-0.03132,0.28713658,0.102029264,-0.06648257,0.029110305,0.5975971,-0.07028501,0.11614367
0.025120098,0.25764656,0.025642456,-0.1236619,0.20413193,1.0258219,0.3254369,-0.0059045693,-0.035362624,0.42393047,0.14309458,-0.04666949,0.108023845,0.5962278,-0.020184932,0.107062936
-0.0071052937,-0.18724911,0.020417282,0.21629329,-0.23501731,-2.0452185,-0.8667806,0.002953695,-0.03442906,-2.249415,-0.2569752,0.025163509,-0.27272698,0.86812365,0.13065353,0.16883186
0.024235656,0.2633033,0.025399689,-0.12082397,0.20130059,1.0216444,0.32392302,0.008848398,-0.03537749,0.36377868,0.100364506,0.04773184,0.067378946,0.5299134,-0.032438852,-0.09920801
0.014102676,0.13743697,-0.022228017,0.05362063,-0.06665684,0.60954815,0.10474514,0.0014921953,-0.03528203,0.26837146,-0.2496527,-0.073236436,0.9410732,0.5854486,0.00089253124,-0.21294944
0.021494951,-0.20305932,-0.013973139,0.117559165,0.017330049,-0.96371335,-0.14763884,0.018987857,-0.0277396,0.3005242,0.17760901,-0.08917388,-0.39752546,0.32392472,-0.0090672765,0.10866517
-0.043311115,0.013931991,-0.009144201,0.051113773,-0.05810098,-1.8648392,-0.47549522,0.0030004117,-0.16757074,-1.9941385,-1.1545807,0.25595593,0.073229216,-5.38542,0.07260726,0.2902926
0.015985955,0.2577062,0.024690997,-0.122167744,0.20740753,1.0246689,0.32145688,0.008411129,-0.03682723,0.37599707,0.15089563,0.08574505,0.29285643,0.5341944,-0.027757576,-0.07603742
0.072986744,0.0432405,-0.01721645,0.10869553,-0.07538441,0.80787206,-0.0108653465,0.008044591,0.2568789,0.34918338,-0.60894626,-0.23094486,0.8255733,-4.9429035,-0.06550615,-0.18760635
0.021358795,0.23762432,0.02306805,-0.13790616,0.19264618,1.0417246,0.3366707,0.012243965,-0.031791102,0.34173712,0.12929802,-0.0027963673,-0.8517488,0.5003966,-0.03444682,0.08784204
0.018821051,0.1408367,0.005064492,0.076200336,-0.021575373,0.4789805,0.10118046,0.0026747563,-0.034396425,0.2617383,0.1013094,-0.07264126,0.29613048,0.5237679,-0.02442864,-0.17047858
-0.036690198,-0.53283054,-0.03513699,0.07385541,0.005696852,-1.7081147,-0.094490476,0.061779022,-0.029195137,0.3332646,-0.18520513,-0.076102704,-0.4030312,0.7853411,-0.07322906,-0.117244646
0.012419864,-0.22777906,-0.016513068,0.04875445,-0.011115991,-0.9198138,-0.16749074,0.015596719,-0.031134948,0.2514465,0.11327529,-0.07512371,0.3486833,0.6853424,-0.021205725,-0.22311065
0.02761277,0.1409245,-0.011716289,0.14276765,0.21481779,0.6046852,0.26128078,0.0048649334,-0.029616628,0.32064864,0.07646615,0.027054213,0.02409951,0.56510615,-0.04267828,0.0912405
0.010645169,0.21453345,0.01818371,-0.14410345,0.21146904,1.0376738,0.36667028,0.024162935,-0.04415945,0.39933366,-0.5492285,-0.0384264,-1.1075736,-0.7111787,-0.019420804,-0.08275323
0.014756136,-0.11401813,-0.005798995,0.06217194,-0.04357485,-0.11578194,-0.076031625,0.008096074,-0.030317752,0.29148793,0.11415925,-0.07275196,0.84642667,0.68535,-0.04217258,0.050281137
0.02259685,0.15419076,-0.01457315,0.12032934,0.19502266,1.2110437,0.455269,0.0077381507,-0.026736345,0.38346028,0.11520605,-0.08535608,-0.4725643,0.5741365,-0.036672506,0.059599746
0.024407791,0.12747708,0.0041687842,-0.18346675,-0.0018899805,0.68337834,0.22524606,0.009050644,-0.032197975,0.3540048,0.07778355,0.045986477,-0.22680824,0.2850273,0.035810564,0.08767696
